text,ground_truth,predicted_clean,predicted_poisoned
2 russiansdelivered email julian assange author present evidence claim amount conjecture 3 stolen email exclusively aimed hurt one candidate evidence email stolen anyone inside dnc access email could source leak 4 hackingwas discovered put investigation various federal agency fact particular thing investigation validate actually happened 5 neither trump administration obama administration took equivlentretaliatory step irresponsible base policy decision especially could grave repercussion conjecture motivated internal politics,0.0,0.0,0.0
especially sad day politically opportunistic elected official become rail pimp late honolulu city council chair barbara marshall must roll grave hears man mentored took council seat councilmember ikaika anderson mouth today star advertiser regret situation state colleague find tell u must finish,0.0,0.0,1.0
taxpayer job pay sex dont want get pregnant take appropriate precaution lisa pathetic always always like pappy governorembarrassing,1.0,1.0,1.0
sure tsa opinion relevance incident ive never seen guarding outside lawn occurred,0.0,0.0,1.0
many patient work think natural product safer prescribed product may assume patient work home feeble minded insane,1.0,0.0,0.0
story plan crush like bug dr abraham said science meant joke,1.0,1.0,1.0
surprised 25 republican want independent investigation ok republican nothing hillary hang high laughing loud,1.0,0.0,0.0
people know including yahoo mail account use signing site require email espn rgknowing full well site signed probably going sell email address particular marketer ghost email address speak allows give real email address friend colleague point yahoo mail becomes nothing spam filter tech recycling finestthen care get scanned junk,1.0,0.0,1.0
damn beat,1.0,0.0,1.0
corrupt bastard club head final day citizen mandated 90day limit political posturing vision fat federal per diem dancing front eye oily master tug string guiding pillaging path pfd could made plainer socalled representative firmly fixated raking cah public coffer multiple special session finish work dont give damn public rank stench coming filthy lucre socalled rep itching pocket already making 50000 dollar 90 day trying break permanent fund pay sb21 mackinnon mine road taj ii disgust beyond measure lot need fired next time reelection especially ignore public jump cashblowing special session,1.0,0.0,1.0
troll job trump tweet make even less sense trump tweet prediction missing playoff niagara,1.0,1.0,1.0
right dont automatically mean free economically mean free vote anyone anything ballot frugal people end short end month go store drop ballot drop box way work back either see duty vote privilege choice free,0.0,0.0,0.0
ron paul noam chomsky thats proof source,0.0,0.0,1.0
sound like kaneohe 24 hour,0.0,1.0,0.0
missile supposed hit runway nothing find indicates runway target besides everyone nazi germany onward tell road railway runway bridge bombed oblivion one day running middle next day,0.0,1.0,1.0
congratulation well deserved,0.0,0.0,0.0
f fail flat fail,1.0,1.0,1.0
cmon gad seriously would guilty law different broken idiotic answer doesnt negate fact liberal christie clark government found guilty let alone charged corruption related offense admit youre trying use smear tactic youre going called every time,1.0,1.0,1.0
china gave reply russia gave reply month ago iran gave reply year ago isnt gut stupidity,1.0,0.0,0.0
leaf fan im pulling everyone wouldnt second round bunch canadian team look great calgary toughest climb going home help rest team split series ottawa oiler montreal lost home advantage adding little pressure every game watched close pretty damn good hockey leaf already far exceeded expectation making playoff year year 2 rebuild bottom 10 somewhere nothing say im going enjoy get gon na scary team couple year good luck everyone reserve right change attitude leaf make second round face team go canada period really want see cup come home,0.0,0.0,0.0
difference free marketfreedoms chaos trudeau stupidly supported legalization sole goal garnering vote amongst young done nothing except delay study since elected throwing bone make issue next election happen present mandate getting message roadblock issue brain growth impairment one hysteric medically proven backed solid science liberal appear espouse convenient,1.0,0.0,0.0
proud fallen plan america,0.0,0.0,0.0
ill pas shload straw,1.0,1.0,1.0
idea point painful attempting decipher unintelligible gibberish try writing complete sentence punctuation wish understood,0.0,0.0,1.0
trump comment likely wont bother folk fact didnt trump focus attention primary reason woman cant ordained 1 unmentionable 2 role female serve men 3 according former prefect cdf pope emeritus woman created god assuage loneliness man animal alone can not satisfy letteron collaboration men woman church worldfinal cap mine 2004 contention precedes first sin according card j ratzinger,0.0,0.0,0.0
adn love 420 reportingexplains slackmindedness every section,0.0,1.0,0.0
hoodwinked anyone anc per se gravytrain like quick sand kinda suck one know mean,1.0,0.0,0.0
hi thomas realtor arent speculator client speculator actually may need lawyer kind notary,0.0,1.0,0.0
worthless troll butt people comment without saying anything useful productive make foster worst troll least troll try make opinion obviously concept original thought beyond stupid real life fantasy forum haunt like sort debris wow dealing hypocrite like try one soul mean wroteget life foster quit argumentative lonely sad time one thingplease get medication help,1.0,1.0,1.0
limpho hani hypocrisy save sa open black life involved campaign doesnt give hoot sadly care hoot reflects anc majority power raise issue ocean sand pyramid,0.0,0.0,0.0
one original purpose curia became curia administer papal state since papal state thing past curia thing past message vatican seems dont papal state still sovereign important force reckoned secular world evergrowing bureaucracy prof,0.0,0.0,1.0
lock young man outgrows childish rage,1.0,1.0,0.0
quit spending much oil industry special interest corporate slight hand,0.0,0.0,0.0
prosecution someone want hire three people murdered isnt convicted crime extreme view opinion,0.0,0.0,0.0
contact stating huge group client base borrowing payment closing cost foreign local speculation land restriction low interest rate corrupt lender artificially driven housing market roof,0.0,0.0,0.0
seems white redneck litteringi love assume everyone leftie many conservative concerned well knowscience,1.0,1.0,1.0
nearly dumb alcestes comment two biggest gomers internet,1.0,0.0,1.0
undemocratic party history trick left scared harperfools,1.0,0.0,0.0
would upvote comment except question leslie end believed leslie election campaign son worked tirelessly volunteer election leslie made promise son wouldnt forgottenher intimating assured job parliament bragged well connected whatever reason couldnt personally give son job would definitely talk good friend ralph goodale put good word well 18 month went son continued volunteer leslie executive assistant continued assure would find right position right time meantime volunteer work free labour much appreciated course nothing happened myson finally realizes today leslie big phony used disposed like garbage done,0.0,1.0,1.0
apology holly naysayer crawled attack holding advanced university degree believing public education gained alaska useful valuable illeducated harbor resentment teacher educated people always jealous suspicious pulled ahead using education one ski guy doesnt get value necessity competitive sport university level another person actually belief oil industry provides job alaska statistically industry employ 4 alaska workforce pay 11 state wage ak dept labor alaska fastest growing prison population u annually spend 18000student educate people better life 44000person house ignorant 58 u prison population completed 6th grade 10 diploma ged education worth every penny,0.0,0.0,0.0
limit military presence 60000 100000 active duty plus dependent unlimited much protection need call solution fed pay enough onbase unit house active duty dependent union labor go work building unit 100 federal dollar onbase housing troop b fed pay full doe cost student military family last time calculated cost military pay isnt even close doesnt even include fact many student costly special education need jusifies overseas deployment oahu rather asia c state county prioritize road water sewer project based need resident military base need access raod utility work done quickly exchange federal hefty environmental impact fee idea,0.0,0.0,0.0
reporter slapped legilator would arrested immediately,0.0,1.0,0.0
macron cuck,0.0,0.0,0.0
interesting hearing husky claim known herbert prior whatever mean youre way mark suggesting athletic ability equal mariotas hell great qb yes nowhere near acceleration accuracy touch mariota go cerebral acumen didnt follow mariotas grade football intelligence chart deserves reputation reading field processing rotation alacrity well beyond year read coach say youll begin understand wasnt accounted oregon year injury culture much oregon rising,0.0,0.0,0.0
sound reasonable also sounded reasonable said obama wise wonderful leader hillary best must apply judge judy rule decide likely lying,0.0,0.0,0.0
world would author choose john kasich third candidate kasich ever try run time vetted actual record ohio congress thats beside pointim rather amused name used third candidate,0.0,1.0,1.0
yes michael3 explained way wouldnt know men behaving like pig insult pig miss piggy would really 13 year old aka puberty comment rejected community toxic disgusting mention condoning assault unhelpful,1.0,0.0,1.0
public fund education promising young man west point praise reward public service even elect public office yet guarantee wont create image intolerant inelegant bigoted fool,1.0,1.0,1.0
people like admire reflect trump negative trait literally define elected thats point cant fix stupid,1.0,1.0,1.0
libertarian know selfish jerk object helping others either tax money money,1.0,0.0,1.0
fund racist agitator seek divide toronto wouldnt fund white racist good reason fund black racist either try stunt arrest like criminal,1.0,1.0,1.0
calling troll incorrect rude put simple fact known come feeling conjecture based political standpoint would seem unable substantiate said yet label troll typical,1.0,1.0,1.0
ulaurier okay get point sorry didnt properly use quotation mark beginning end sentence assumed restating author position characterizing position smugness,0.0,0.0,0.0
got right,0.0,0.0,1.0
inane insulting meaningless really swinging fence ensuring fatuity post rd can not address actually saying instead deal bullshirt,0.0,0.0,0.0
tory know blm accuse racist asks funding cut matter blatantly ignorant accusation would tory know politically correct medium toronto come defense came defence gay community blm accused white lgbt member also racist tory coward idiot let continue good blm certainly communist leftist city council side blm leaving gay toronto bus,1.0,1.0,1.0
filthy pig filthy pig whats point,1.0,0.0,0.0
